"SELEKTA-KOM-1","0604115115",0,0,0,113
"SELEKTA-KOM-2","0501494328",0,0,0,114
"WILLA-KOM","0507167006",0,0,0,115
"PODOLIN","0774183231",0,0,0,116
"LOKUM","0774544235",0,0,0,117
"LOKUMNYSA","0774339470",0,0,0,118
"PROKOP","0774543487",0,0,0,119
"NGN","0774355490",0,0,0,120
"NGN-KOM","0607359469",0,0,0,121
"ESPERO","0774838325",0,0,0,122
"WILK","0774420450",0,0,0,123
"FIDEM","0774646847",0,0,0,124
"SOOL","0774531763",0,0,0,125
"SOOL-FAX","0774530312",0,0,0,126
"SOOL-KOM","0604455625",0,0,0,127
"WOJCIK","0774353355",0,0,0,128
"FENIX","0774366548",0,0,0,129
"CENTRUM","0774575777",0,0,0,130
"CENTRUM-KOM","0604977338",0,0,0,131
"BAJ","0774417844",0,0,0,132
"BAJ-FAX","0774536233",0,0,0,133
"BAJ-KOM","0601545481",0,0,0,134
"ALDOM","0774651577",0,0,0,135
"ALDOM-KOM","0508237594",0,0,0,136
"KNUTER","0774578952",0,0,0,137
"KNUTER-KOM","0604966861",0,0,0,138
"OSON","0774537532",0,0,0,139
"OSON-FAX","0774565796",0,0,0,140
"OSON-KOM-1","0505032700",0,0,0,141
"OSON-KOM-2","0600268101",0,0,0,142
"WORKSERVICE","0774417754",0,0,0,143
"WORKSERVICE-KOM","0501153746",0,0,0,144
"Bartek Zapart","0664825878",0,0,0,145
