A	
213106	Biotechnolog
721302	Blacharz budowlany
 
721303	Blacharz izolacji przemysłowych
721304	Blacharz lotniczy
721305	Blacharz okrętowy
721301	Blacharz
721306	Blacharz samochodowy
315201	Bosman
315202	Bosman portu
962102	Boy hotelowy
754301	Brakarz wyrobów przemysłowych
721101	Brązownik
242401	Broker edukacyjny
262204	Broker informacji (researcher)
332103	Broker reasekuracyjny
332104	Broker ubezpieczeniowy
711601	Brukarz
524901	Bukieciarz
421201	Bukmacher
731301	Bursztyniarz
C	
731601	Cechowacz skal i znaków na szkle oraz na wyrobach z metali
311901	Cechowniczy
731401	Ceramik wyrobów ceramiki budowlanej
731402	Ceramik wyrobów użytkowych i ozdobnych
514201	Charakteryzator
211301	Chemik
211302	Chemik – technologia chemiczna
323004	Chiropraktyk
611301	Chirurg pielęgniarz drzew
753601	Cholewkarz
265301	Choreograf
812101	Ciągacz rur
711501	Cieśla
711502	Cieśla szalunkowy
343503	Clown
751201	Cukiernik
712201	Cykliniarz
912901	Czyściciel basenów pływackich
951001	Czyściciel butów
912902	Czyściciel dywanów
713302	Czyściciel elewacji budowlanych
912201	Czyściciel pojazdów
 
D	
331101	Dealer aktywów finansowych
712101	Dekarz
343201	Dekorator sklepów
343202	Dekorator wnętrz
751202	Dekorator wyrobów cukierniczych
212003	Demograf
524201	Demonstrator wyrobów
341101	Detektyw prywatny
311401	Diagnosta kolejowy
227101	Diagnosta laboratoryjny
227201	Diagnosta laboratoryjny – cytomorfologia medyczna
227202	Diagnosta laboratoryjny – epidemiologia
227203	Diagnosta laboratoryjny – laboratoryjna diagnostyka medyczna
227204	Diagnosta laboratoryjny – laboratoryjna diagnostyka sądowa
227205	Diagnosta laboratoryjny – laboratoryjna genetyka medyczna
227206	Diagnosta laboratoryjny – laboratoryjna hematologia medyczna
227207	Diagnosta laboratoryjny – laboratoryjna immunologia medyczna
227208	Diagnosta laboratoryjny – laboratoryjna parazytologia medyczna
227209	Diagnosta laboratoryjny – laboratoryjna toksykologia medyczna
227210	Diagnosta laboratoryjny – laboratoryjna transfuzjologia medyczna
227211	Diagnosta laboratoryjny – mikrobiologia medyczna
227212	Diagnosta laboratoryjny – zdrowie publiczne
227213	Diagnosta laboratoryjny – zdrowie środowiskowe
311501	Diagnosta uprawniony do wykonywania badań technicznych pojazdów
322001	Dietetyk
722401	Docieracz polerowacz
612101	Dojarz
242205	Doradca do spraw bezpieczeństwa w transporcie towarów niebezpiecznych
241201	Doradca emerytalny
242302	Doradca EURES
241202	Doradca finansowy
241203	Doradca inwestycyjny
524902	Doradca klienta
242303	Doradca personalny
241204	Doradca podatkowy
213201	Doradca rolniczy
242304	Doradca zawodowy
933201	Dorożkarz
962103	Dostawca potraw
962902	Dozorca
711602	Dróżnik obchodowy
 
831201	Dróżnik przejazdowy
732201	Drukarz
732202	Drukarz sitodrukowy
732203	Drukarz tkanin
621001	Drwal / pilarz drzew
263601	Duchowny religii mojżeszowej
263602	Duchowny religii muzułmańskiej
263603	Duchowny wyznania prawosławnego
263604	Duchowny wyznania rzymskokatolickiego
263605	Duchowny wyznań ewangelickich
235901	Dydaktyk aplikacji multimedialnych
134901	Dyrektor aresztu śledczego / zakładu karnego
121301	Dyrektor departamentu
112001	Dyrektor do spraw administracyjnych
112002	Dyrektor do spraw badawczo-rozwojowych
112003	Dyrektor do spraw energetyki
112004	Dyrektor do spraw informatyki / informacji
112005	Dyrektor do spraw personalnych
112006	Dyrektor finansowy
112007	Dyrektor generalny
112008	Dyrektor handlowy
112009	Dyrektor logistyki
112010	Dyrektor marketingu
112011	Dyrektor operacyjny
112012	Dyrektor produkcji
112013	Dyrektor rozwoju biznesu
112014	Dyrektor sprzedaży
134501	Dyrektor szkoły
112015	Dyrektor techniczny
112016	Dyrektor wykonawczy
134902	Dyrektor zakładu dla nieletnich
265203	Dyrygent
315401	Dyspozytor lotniczy
432301	Dyspozytor radio taxi
831202	Dyspozytor ruchu metra
432302	Dyspozytor transportu samochodowego
951002	Dystrybutor ulotek
831203	Dyżurny ruchu i stacji metra
831204	Dyżurny ruchu kolejowego
134502	Dziekan
264201	Dziennikarz
731802	Dziewiarz
962104	Dźwigowy (windziarz)
 
342101	Dżokej
E	
325501	Edukator ekologiczny
264101	Edytor materiałów źródłowych
722201	Eguterzysta
235902	Egzaminator on-line
235903	Egzaminator osób ubiegających się o uprawnienia do kierowania pojazdem
213302	Ekolog
263101	Ekonometryk
263102	Ekonomista
441201	Ekspedient pocztowy
524903	Ekspedient w punkcie usługowym
524501	Ekspedient w stacji obsługi pojazdów
432101	Ekspedient wypożyczalni
432303	Ekspedytor
524401	Ekspedytor sprzedaży wysyłkowej / internetowej
242206	Ekspert w Urzędzie Patentowym RP
333103	Eksploatator portu
332201	Ekspozytor towarów (merchandiser)
313101	Elektroenergetyk elektrowni cieplnych
313102	Elektroenergetyk elektrowni wodnych
313103	Elektroenergetyk nastawni
313104	Elektroenergetyk pomiarów i zabezpieczeń
741202	Elektromechanik elektrycznych przyrządów pomiarowych
741203	Elektromechanik pojazdów samochodowych
741201	Elektromechanik
741204	Elektromechanik sprzętu gospodarstwa domowego
741205	Elektromechanik urządzeń chłodniczych
741206	Elektromechanik urządzeń sterowania ruchem kolejowym
741207	Elektromonter (elektryk) zakładowy
741101	Elektromonter instalacji elektrycznych
741208	Elektromonter / konserwator urządzeń dźwignicowych
741301	Elektromonter linii kablowych
741302	Elektromonter linii napowietrznych niskich i średnich napięć
741303	Elektromonter linii napowietrznych wysokich i najwyższych napięć
741209	Elektromonter lotniczy
741210	Elektromonter maszyn elektrycznych
741211	Elektromonter maszyn i urządzeń górnictwa odkrywkowego
741212	Elektromonter maszyn i urządzeń górnictwa podziemnego
741213	Elektromonter okrętowy
741304	Elektromonter pogotowia elektroenergetycznego
741214	Elektromonter prefabrykowanych stacji transformatorowych
 
741102	Elektromonter reklam świetlnych
741215	Elektromonter rozdzielni i podstacji trakcyjnych
741305	Elektromonter sieci trakcyjnej
741216	Elektromonter taboru szynowego
741217	Elektromonter telekomunikacyjnych urządzeń zasilających
741218	Elektromonter transformatorów
741219	Elektromonter układów pomiarowych i automatyki zabezpieczeniowej
741220	Elektromonter urządzeń sygnalizacyjnych
741104	Elektryk budowlany
741103	Elektryk
228901	Epidemiolog
263202	Etnograf
243201	Etyk biznesu
235102	Ewaluator programów edukacji
F	
731701	Fajkarz
431102	Fakturzystka
228101	Farmaceuta – analityka farmaceutyczna
228102	Farmaceuta – bromatologia
228103	Farmaceuta – farmacja apteczna
228104	Farmaceuta – farmacja kliniczna
228105	Farmaceuta – farmacja przemysłowa
228106	Farmaceuta – farmacja szpitalna
228107	Farmaceuta – farmakologia
228108	Farmaceuta – lek roślinny
228109	Farmaceuta – mikrobiologia i biotechnologia farmaceutyczna
228110	Farmaceuta – toksykologia
228111	Farmaceuta – zdrowie publiczne
228112	Farmaceuta – zdrowie środowiskowe
325901	Felczer
264303	Filolog – filologia polska
264301	Filolog – filologia klasyczna
264302	Filolog – filologia obcojęzyczna
263301	Filozof
228301	Fizjoterapeuta
211103	Fizyk
211104	Fizyk medyczny
835001	Flisak - retman
343203	Florysta
721102	Formierz odlewnik
814201	Formierz wyrobów z kompozytów polimerowych
814202	Formowacz ortopedycznych wyrobów z tworzyw
731403	Formowacz ściernic
 
731404	Formowacz wyrobów ceramicznych
731501	Formowacz wyrobów szklanych
264202	Fotoedytor
732101	Fotograf poligraficzny
343101	Fotograf
732102	Fotograf w drukarni filmowej
343102	Fotoreporter
343103	Fotosista
343104	Fototechnik
722301	Frezer
752301	Frezer drewna
514102	Fryzjer damski
514103	Fryzjer męski
514101	Fryzjer
516401	Fryzjer zwierząt (groomer)
541301	Funkcjonariusz Biura Ochrony Rządu
335101	Funkcjonariusz celny
541302	Funkcjonariusz logistyki Biura Ochrony Rządu
541303	Funkcjonariusz ochrony Biura Ochrony Rządu
335701	Funkcjonariusz służb specjalnych
335601	Funkcjonariusz służby ochrony
335602	Funkcjonariusz służby penitencjarnej
335102	Funkcjonariusz straży granicznej
G	
731602	Galwanizer
753502	Garbarz skór bez włosa
753501	Garbarz skór
343903	Garderobiana
751101	Garmażer
731405	Garncarz
331501	Gemmolog
213107	Genetyk
211401	Geofizyk
211402	Geograf
211403	Geolog
752202	Gięciarz drewna
732103	Giloszer
731603	Giloszer szkła
712202	Glazurnik
213202	Gleboznawca
121101	Główny księgowy
132101	Główny technolog
 
962105	Goniec
753102	Gorseciarka
515301	Gospodarz domu
515201	Gospodyni
811301	Górnik eksploatacji otworowej
811101	Górnik eksploatacji podziemnej
811102	Górnik odkrywkowej eksploatacji złóż
931201	Grabarz
216601	Grafik komputerowy DTP
216602	Grafik komputerowy multimediów
731101	Grawer
732104	Grawer poligraficzny
731604	Grawer szkła
751501	Grzyboznawca
H	
753301	Hafciarka
811401	Hartowacz betonów i sylikatów
812102	Hartownik
325102	Higienistka stomatologiczna
325902	Higienistka szkolna
263302	Historyk
263303	Historyk sztuki
612102	Hodowca bydła
612201	Hodowca drobiu
612901	Hodowca inwentarza mieszanego
612301	Hodowca jedwabników
612103	Hodowca koni
612104	Hodowca owiec
612902	Hodowca ptaków
612105	Hodowca trzody chlewnej
612106	Hodowca zwierząt domowych
612107	Hodowca zwierząt futerkowych
612903	Hodowca zwierząt laboratoryjnych
632001	Hodowca zwierząt pracujący na własne potrzeby
323005	Homeopata
524904	Hostessa
731502	Hutnik – dmuchacz szkła
712601	Hydraulik
211404	Hydrograf morski
211405	Hydrolog
211201	Hydrometeorolog
 
I	
216603	Ilustrator
343504	Iluzjonista
352105	Imitator efektów dźwiękowych
752101	Impregnator drewna
422501	Informator ruchu pasażerskiego
315402	Informator służby informacji powietrznej
251901	Informatyk medyczny
421401	Inkasent
242213	Inspektor ochrony rybołówstwa
325502	Inspektor bezpieczeństwa i higieny pracy
315203	Inspektor bezpieczeństwa żeglugi
335901	Inspektor budowlany
335902	Inspektor budowy dróg
335903	Inspektor budowy mostów
335907	Inspektor do spraw miar i wag
335904	Inspektor do spraw obrony cywilnej
242207	Inspektor do spraw wytwarzania Głównego Inspektoratu Farmaceutycznego
228201	Inspektor dozoru jądrowego
214902	Inspektor dozoru technicznego
242208	Inspektor farmaceutyczny
515101	Inspektor hotelowy
335905	Inspektor kontroli handlu i usług
242209	Inspektor kontroli skarbowej
242210	Inspektor nadzoru bankowego
242211	Inspektor nadzoru budowlanego
242212	Inspektor ochrony danych osobowych
335906	Inspektor ochrony przeciwpożarowej
325503	Inspektor ochrony radiologicznej
325504	Inspektor ochrony środowiska
242214	Inspektor pracy
335908	Inspektor sanitarny
335909	Inspektor transportu drogowego
343904	Inspicjent
311402	Instalator systemów alarmowych
311403	Instalator systemów alarmowych przeciwkradzieżowych
311404	Instalator systemów telewizji przemysłowej
235501	Instruktor amatorskiego ruchu artystycznego
516501	Instruktor doskonalenia technik jazdy
342201	Instruktor dyscypliny sportu
342301	Instruktor fitness
342302	Instruktor gimnastyki korekcyjnej
 
325505	Instruktor higieny
323006	Instruktor hipoterapii
342303	Instruktor jazdy konnej
516502	Instruktor nauki jazdy
342304	Instruktor odnowy biologicznej
342305	Instruktor rekreacji ruchowej
342306	Instruktor rytmiki
342307	Instruktor sportów siłowych
342308	Instruktor sportów ekstremalnych
342202	Instruktor sportu osób niepełnosprawnych
342309	Instruktor sztuki walki
235502	Instruktor tańca
325903	Instruktor terapii uzależnień
515102	Intendent
732302	Introligator galanteryjny
732303	Introligator poligraficzny
732301	Introligator
432102	Inwentaryzator
214903	Inżynier automatyki i robotyki
214904	Inżynier awionik
214905	Inżynier biocybernetyki i inżynierii biomedycznej
214201	Inżynier budownictwa – budowle i drogi wodne
214202	Inżynier budownictwa – budownictwo ogólne
214203	Inżynier budownictwa – budownictwo przemysłowe
214204	Inżynier budownictwa – linie, węzły i stacje kolejowe
214205	Inżynier budownictwa – urządzenia, instalacje i sieci energetyczne
214206	Inżynier budownictwa – wyburzanie obiektów
214207	Inżynier budowy dróg
214208	Inżynier budowy mostów
215101	Inżynier elektroenergetyk
215102	Inżynier elektroenergetyk kolejowych sieci i podstacji trakcyjnych
215201	Inżynier elektronik
215103	Inżynier elektryk
215104	Inżynier elektryk – automatyk
214906	Inżynier energetyk
216501	Inżynier geodeta – fotogrametria i teledetekcja
216502	Inżynier geodeta – geodezja górnicza
216503	Inżynier geodeta – geodezja inżynieryjno-przemysłowa
216504	Inżynier geodeta – geodezja urządzania terenów rolnych i leśnych
216505	Inżynier geodeta – geodezyjne pomiary podstawowe i satelitarne
216506	Inżynier geodeta – geomatyka
216507	Inżynier geodeta – kataster i gospodarka nieruchomościami
214209	Inżynier geotechnik
 
214907	Inżynier gospodarki przestrzennej
214601	Inżynier górnik – górnictwo ropy naftowej, gazu i surowców płynnych
214602	Inżynier górnik – górnictwo węgla brunatnego
214603	Inżynier górnik – górnictwo węgla kamiennego
214604	Inżynier górnik – wiertnictwo
214605	Inżynier hutnik
214501	Inżynier inżynierii chemicznej
214606	Inżynier inżynierii materiałowej
214301	Inżynier inżynierii środowiska – gazowe urządzenia, instalacje i sieci energetyczne
214302	Inżynier inżynierii środowiska – gospodarka wodna i hydrologia
214303	Inżynier inżynierii środowiska – instalacje sanitarne
214304	Inżynier inżynierii środowiska – melioracje
214305	Inżynier inżynierii środowiska – oczyszczanie miast i gospodarka odpadami
214306	Inżynier inżynierii środowiska – systemy wodociągowe i kanalizacyjne
214908	Inżynier kliniczny
213203	Inżynier leśnictwa
214401	Inżynier mechanik – cieplno-mechaniczne urządzenia, instalacje i sieci energetyczne
214402	Inżynier mechanik – maszyny i urządzenia do obróbki metali
214403	Inżynier mechanik – maszyny i urządzenia energetyczne
214404	Inżynier mechanik – maszyny i urządzenia przemysłowe
214405	Inżynier mechanik – mechanika precyzyjna
214406	Inżynier mechanik – środki transportu
214407	Inżynier mechanik – technologia mechaniczna
214408	Inżynier mechanik lotniczy
214409	Inżynier mechanizacji rolnictwa
215202	Inżynier mechatronik
214101	Inżynier normowania pracy
214607	Inżynier odlewnik
213204	Inżynier ogrodnictwa
214102	Inżynier organizacji i planowania produkcji
214909	Inżynier poligraf
214910	Inżynier pożarnictwa
213205	Inżynier rolnictwa
216401	Inżynier ruchu drogowego
216402	Inżynier ruchu kolejowego
213206	Inżynier rybactwa
214410	Inżynier spawalnik
243301	Inżynier sprzedaży
243401	Inżynier sprzedaży technologii i usług teleinformatycznych
214307	Inżynier systemów bezpieczeństwa jądrowego i ochrony radiologicznej
252302	Inżynier systemów i sieci komputerowych
214911	Inżynier systemów zabezpieczeń technicznych osób i mienia
214912	Inżynier technologii betonów
 
214913	Inżynier technologii ceramiki
214502	Inżynier technologii chemicznej
214914	Inżynier technologii drewna
214915	Inżynier technologii przetwórstwa skóry
214916	Inżynier technologii szkła
214503	Inżynier technologii żywności
215301	Inżynier telekomunikacji
214917	Inżynier transportu drogowego
214918	Inżynier transportu kolejowego
215203	Inżynier urządzeń zabezpieczenia i sterowania ruchem kolejowym
214103	Inżynier utrzymania ruchu
214919	Inżynier włókiennik
214104	Inżynier zaopatrzenia, transportu i magazynowania
213207	Inżynier zootechniki
J	
751102	Jeliciarz
612108	Juhas
K	
753702	Kaletnik
711301	Kamieniarz
753103	Kapelusznik – czapnik
315204	Kapitan portu morskiego
315205	Kapitan statku morskiego
315206	Kapitan statku żeglugi śródlądowej
315207	Kapitan żeglugi przybrzeżnej
751203	Karmelarz
216508	Kartograf
421103	Kasjer bankowy
523001	Kasjer biletowy
523002	Kasjer handlowy
523003	Kasjer w zakładzie pracy
421104	Kasjer walutowy
343905	Kaskader filmowy
343906	Kaskader filmowy koordynator
513101	Kelner
833101	Kierowca autobusu
833201	Kierowca autocysterny
834101	Kierowca ciągnika rolniczego
833202	Kierowca ciągnika siodłowego
831101	Kierowca drezyny i wózka motorowego
831102	Kierowca lokomotywy spalinowej
832201	Kierowca mechanik
 
834401	Kierowca operator wózków jezdniowych
833203	Kierowca samochodu ciężarowego
832202	Kierowca samochodu dostawczego
832203	Kierowca samochodu osobowego
833102	Kierowca trolejbusu
143101	Kierownik agencji do spraw usług sportowych / turystycznych / kulturalnych
134601	Kierownik agencji doradztwa finansowego
143102	Kierownik agencji filmowej / telewizyjnej
134903	Kierownik agencji ochrony mienia i osób
122201	Kierownik agencji reklamowej
134602	Kierownik agencji ubezpieczeniowej
143103	Kierownik archiwum
143104	Kierownik biblioteki
334101	Kierownik biura
143901	Kierownik biura podroży
121102	Kierownik biura rachunkowego
143902	Kierownik biura tłumaczeń
132301	Kierownik budowy
143903	Kierownik centrum handlowego
143904	Kierownik centrum konferencyjnego
143905	Kierownik centrum obsługi telefonicznej (kierownik call center)
134101	Kierownik centrum rozrywki dla dzieci
132102	Kierownik do spraw kontroli jakości
122301	Kierownik do spraw rozwoju produktu
121302	Kierownik do spraw strategicznych i planowania
143906	Kierownik do spraw windykacji
134401	Kierownik domu dziecka
143105	Kierownik domu kultury
134402	Kierownik domu opieki społecznej
134301	Kierownik domu spokojnej starości
121901	Kierownik działu administracyjno-gospodarczego
122302	Kierownik działu badawczo-rozwojowego
121103	Kierownik działu finansowego
133001	Kierownik działu informatyki
121201	Kierownik działu kadrowo-płacowego
132401	Kierownik działu logistyki
122101	Kierownik działu marketingu
132103	Kierownik działu produkcji
122202	Kierownik działu reklamy / promocji / public relations
122102	Kierownik działu sprzedaży
121202	Kierownik działu szkoleń
132402	Kierownik działu transportu
134603	Kierownik działu w banku
 
142001	Kierownik działu w handlu detalicznym
142002	Kierownik działu w handlu hurtowym
141101	Kierownik działu w hotelu
134403	Kierownik działu w instytucjach opieki społecznej
134604	Kierownik działu w instytucji ubezpieczeniowej
141201	Kierownik działu w lokalu gastronomicznym
133002	Kierownik działu w przedsiębiorstwie telekomunikacyjnym
132201	Kierownik działu wydobycia
132403	Kierownik działu zakupów
121203	Kierownik działu zarządzania zasobami ludzkimi
134904	Kierownik firmy audytorskiej
143907	Kierownik firmy sprzątającej
143106	Kierownik galerii sztuki
134201	Kierownik hospicjum
141102	Kierownik hostelu / motelu
141103	Kierownik hotelu
142003	Kierownik hurtowni
132202	Kierownik jednostki ratownictwa górniczego
134905	Kierownik kancelarii prawnej
143107	Kierownik kasyna
143908	Kierownik kempingu
143108	Kierownik kina
143109	Kierownik klubu fitness
143110	Kierownik klubu sportowego
134202	Kierownik komórki organizacyjnej zakładu opieki zdrowotnej
141202	Kierownik lokalu gastronomicznego
132404	Kierownik magazynu
132302	Kierownik małego przedsiębiorstwa budowlanego
612202	Kierownik małego przedsiębiorstwa hodowli drobiu
121902	Kierownik małego przedsiębiorstwa obsługi biznesu
611302	Kierownik małego przedsiębiorstwa ogrodniczego
613002	Kierownik małego przedsiębiorstwa produkcji roślinnej i zwierzęcej
611201	Kierownik małego przedsiębiorstwa sadowniczego
611401	Kierownik małego przedsiębiorstwa upraw mieszanych
611101	Kierownik małego przedsiębiorstwa upraw polowych
121903	Kierownik małego przedsiębiorstwa usług osobistych, porządkowych i pokrewnych
132104	Kierownik małego przedsiębiorstwa w przemyśle przetwórczym
132203	Kierownik małego przedsiębiorstwa w przemyśle wydobywczym
612109	Kierownik małego przedsiębiorstwa wyspecjalizowanej produkcji zwierzęcej
143111	Kierownik muzeum
134404	Kierownik ośrodka pomocy rodzinie
143112	Kierownik parku rozrywki / cyrku
141104	Kierownik pensjonatu
 
134605	Kierownik placówki bankowej
134203	Kierownik placówki usług medycznych
343907	Kierownik planu filmowego
511201	Kierownik pociągu
754101	Kierownik prac podwodnych
143113	Kierownik produkcji filmowej / telewizyjnej
131101	Kierownik produkcji w przedsiębiorstwach rolnych
131201	Kierownik produkcji w przedsiębiorstwach upraw wodnych
133003	Kierownik przedsiębiorstwa informatycznego
132405	Kierownik przedsiębiorstwa spedycyjnego
122103	Kierownik przedsiębiorstwa świadczącego usługi z zakresu marketingu i sprzedaży
121204	Kierownik przedsiębiorstwa świadczącego usługi z zakresu zarządzania zasobami ludzkimi
133004	Kierownik przedsiębiorstwa telekomunikacyjnego
132406	Kierownik przedsiębiorstwa transportowego
131102	Kierownik przedsiębiorstwa usługowego związanego z leśnictwem
131202	Kierownik przedsiębiorstwa w rybołówstwie
134102	Kierownik przedszkola
133005	Kierownik rozwoju technologii informatycznych
133006	Kierownik rozwoju technologii telekomunikacyjnych
132204	Kierownik ruchu w zakładzie górniczym
522201	Kierownik sali sprzedaży
133007	Kierownik sieci informatycznych
143114	Kierownik siłowni
522202	Kierownik stoiska w markecie
142004	Kierownik supermarketu
143115	Kierownik szkółki jeździeckiej
143116	Kierownik teatru
131103	Kierownik w gospodarce leśnej
134503	Kierownik warsztatów szkolnych
134103	Kierownik wioski dziecięcej
134204	Kierownik zakładu opieki zdrowotnej
134104	Kierownik żłobka
352106	Kinooperator
522102	Kioskarz
751502	Klasyfikator dziczyzny i ptactwa
213208	Klasyfikator gruntów
751503	Klasyfikator grzybów
751504	Klasyfikator jaj, drobiu i pierza
751505	Klasyfikator ryb
753503	Klasyfikator skór
441301	Kodowacz (koder)
962106	Kolporter
752203	Kołodziej
 
834102	Kombajnista (kierowca kombajnu)
265601	Komentator sportowy
343505	Komik
713303	Kominiarz
261904	Komornik sądowy
265204	Kompozytor
732105	Komputerowy składacz tekstu
511202	Konduktor
511203	Konduktor – konserwator kolei linowej
821901	Konfekcjoner wyrobów gumowych
265602	Konferansjer
711101	Konserwator budynków
932901	Konserwator części
265105	Konserwator dzieł sztuki
753504	Konserwator skór surowych
351201	Konserwator systemów komputerowych i sieci
753201	Konstruktor odzieży
524302	Konsultant / agent sprzedaży bezpośredniej
242305	Konsultant do spraw kariery
251102	Konsultant do spraw systemów teleinformatycznych
214105	Konsultant komitetu technicznego
511204	Kontroler biletów
325506	Kontroler higieny mięsa
311902	Kontroler jakości połączeń spawanych
314401	Kontroler jakości produktów spożywczych
311405	Kontroler jakości wyrobów elektronicznych
311301	Kontroler jakości wyrobów elektrycznych
311502	Kontroler jakości wyrobów mechanicznych
214920	Kontroler kolejowy
242215	Kontroler państwowy
421105	Kontroler pocztowy
313401	Kontroler procesów przeróbki ropy naftowej i gazu
313301	Kontroler procesów w produkcji nawozów sztucznych
313302	Kontroler procesów w produkcji włókien chemicznych
313303	Kontroler reaktorów chemicznych
313901	Kontroler robotów przemysłowych
421106	Kontroler rozliczeń pieniężnych
335201	Kontroler rozliczeń podatkowych
315403	Kontroler ruchu lotniczego
311503	Kontroler stanu technicznego pojazdów
313304	Kontroler urządzeń destylacyjnych i rektyfikacyjnych
313501	Kontroler urządzeń do ciągnienia i tłoczenia metali
313305	Kontroler urządzeń do obróbki cieplnej chemikaliów
 
313902	Kontroler urządzeń do produkcji papieru
313502	Kontroler urządzeń do wytopu metali
313306	Kontroler urządzeń filtrujących i oddzielających
313307	Kontroler urządzeń koksowniczych
313503	Kontroler urządzeń obróbki cieplnej metali
313504	Kontroler urządzeń odlewniczych
313505	Kontroler urządzeń walcowniczych
511205	Konwojent (konduktor) wagonów specjalnych
228902	Koordynator badań klinicznych
325904	Koordynator pobierania i przeszczepiania tkanek i narządów
242102	Koordynator projektów unijnych
931202	Kopacz
311903	Korektor i stroiciel instrumentów muzycznych
441302	Korektor tekstu
731803	Koronkarka
228903	Kosmetolog
514202	Kosmetyczka
216302	Kostiumograf
311201	Kosztorysant budowlany
731702	Koszykarz - plecionkarz
515302	Kościelny
722101	Kowal
722102	Kowal wyrobów zdobniczych
753104	Kożusznik
811402	Krajacz materiałów budowlanych
731503	Krajacz szkła
753105	Krawiec
516301	Kremator
753202	Krojczy
421202	Krupier
264203	Krytyk artystyczny
331301	Księgowy
512002	Kucharz małej gastronomii
512001	Kucharz
263203	Kulturoznawca
263501	Kurator sądowy
441202	Kurier
832101	Kurier motocyklowy
753106	Kuśnierz
323007	Kynoterapeuta (dogoterapeuta)
L	
314101	Laborant bakteriologiczny
 
314102	Laborant biochemiczny
311202	Laborant budowlany
311101	Laborant chemiczny
314201	Laborant nasiennictwa
314103	Laborant w hodowli roślin
324001	Laborant weterynaryjny
932902	Lagowacz
713202	Lakiernik proszkowy
713201	Lakiernik
713203	Lakiernik samochodowy
713204	Lakiernik tworzyw sztucznych
713205	Lakiernik wyrobów drzewnych
835002	Latarnik
214921	Legalizator
221101	Lekarz
221201	Lekarz – alergologia
